iter	Passed	Remaining
401	10237	15229
402	10280	15229
403	10310	15210
404	10331	15179
405	10353	15148
406	10376	15117
407	10405	15098
408	10453	15105
409	10483	15085
410	10524	15082
411	10564	15077
412	10598	15063
413	10635	15054
414	10653	15017
415	10685	15001
416	10724	14993
417	10767	14992
418	10795	14969
419	10827	14951
420	10851	14923
421	10870	14889
422	10894	14860
423	10911	14823
424	10930	14788
425	10945	14748
426	10964	14712
427	10978	14672
428	10994	14634
429	11013	14599
430	11042	14578
431	11061	14544
432	11078	14507
433	11096	14470
434	11110	14431
435	11129	14396
436	11151	14366
437	11173	14337
438	11197	14309
439	11215	14274
440	11230	14235
441	11250	14202
442	11281	14184
443	11302	14153
444	11321	14119
445	11337	14082
446	11357	14050
447	11375	14015
448	11391	13979
449	11412	13948
450	11433	13918
451	11448	13880
452	11464	13843
453	11479	13805
454	11496	13770
455	11513	13735
456	11529	13699
457	11550	13668
458	11567	13634
459	11594	13610
460	11614	13579
461	11635	13550
462	11658	13522
463	11679	13491
464	11696	13457
465	11715	13424
466	11739	13398
467	11761	13369
468	11788	13346
469	11815	13323
470	11835	13293
471	11854	13261
472	11876	13232
473	11897	13202
474	11921	13176
475	11945	13149
476	11963	13117
477	11991	13095
478	12034	13089
479	12062	13067
480	12091	13046
481	12121	13026
482	12141	12996
483	12172	12977
484	12197	12951
485	12215	12919
486	12235	12889
487	12257	12860
488	12277	12829
489	12297	12799
490	12314	12766
491	12339	12741
492	12362	12713
493	12380	12681
494	12397	12647
495	12423	12623
496	12445	12596
497	12465	12565
498	12499	12549
499	12518	12518
500	12537	12487
501	12554	12454
502	12585	12435
503	12616	12415
504	12654	12403
505	12684	12383
506	12719	12368
507	12759	12357
508	12803	12350
509	12837	12334
510	12871	12317
511	12897	12292
512	12936	12280
513	12965	12259
514	12994	12237
515	13040	12231
516	13057	12198
517	13072	12164
518	13091	12132
519	13105	12097
520	13123	12065
521	13139	12031
522	13158	12001
523	13177	11970
524	13193	11936
525	13212	11906
526	13229	11873
527	13248	11843
528	13270	11815
529	13288	11784
530	13307	11753
531	13323	11720
532	13344	11692
533	13362	11660
534	13378	11628
535	13398	11598
