iter	Logloss
0	0.6449003791
1	0.611745774
2	0.597917362
3	0.5687608584
4	0.5440081076
5	0.522215963
6	0.5121346854
7	0.5008615788
8	0.4863251143
9	0.4742845394
10	0.4679586848
11	0.457853377
12	0.4490779743
13	0.4457984842
14	0.4391990453
15	0.4373149284
16	0.4290352022
17	0.4265585039
18	0.4246626555
19	0.4230680808
20	0.4186633139
21	0.4156130078
22	0.4142912002
23	0.4079502033
24	0.4059579157
25	0.4020133472
26	0.3967147021
27	0.3951917083
28	0.3946401089
29	0.3942216754
30	0.3926285605
31	0.3920088994
32	0.3883750832
33	0.3849018051
34	0.3842193146
35	0.3818386886
36	0.3805784493
37	0.3800588332
38	0.3798212369
39	0.3795284745
40	0.3791279587
41	0.3764989088
42	0.3763630042
43	0.3745534488
44	0.3728591872
45	0.3709032969
46	0.3692546577
47	0.3689277038
48	0.3678373167
49	0.3674082799
50	0.3652345777
51	0.3647386388
52	0.3631988627
53	0.3631278537
54	0.362570855
55	0.3607323962
56	0.360121276
57	0.3600038497
58	0.3599116483
59	0.3593663957
60	0.3588750953
61	0.3572931384
62	0.3566504437
63	0.3556284242
64	0.3556279814
65	0.3541717389
66	0.3540513216
67	0.3538986218
68	0.353516482
69	0.3515584219
70	0.3506316766
71	0.350397289
72	0.3499706053
73	0.349808812
74	0.3486423839
75	0.3482960989
76	0.3479523111
77	0.3473606847
78	0.3468056581
79	0.3461571303
80	0.3458927987
81	0.3452030235
82	0.3451453939
83	0.3450131357
84	0.3440728582
85	0.343424998
86	0.3431086475
87	0.3430416878
88	0.3419915244
89	0.341241687
90	0.3408707842
91	0.3408703458
92	0.3405745568
93	0.3399665643
94	0.3395736865
95	0.3392988948
96	0.3392436268
97	0.3391254547
98	0.3387771877
99	0.3384057483
100	0.3379961442
101	0.3379168646
102	0.3377720901
103	0.3369517577
104	0.3368024781
105	0.3366721531
106	0.3360571973
107	0.3353776975
108	0.3349634765
109	0.3347625845
110	0.3346150077
111	0.3345215516
112	0.3338170406
113	0.333488593
114	0.3332267443
115	0.3329161685
116	0.3328728376
117	0.3325981585
118	0.3324439878
119	0.3320480991
120	0.3317696243
121	0.331428182
122	0.3314213978
123	0.3313945023
124	0.3303426648
125	0.3302201183
126	0.3300946888
127	0.330066588
128	0.3296510443
129	0.3292686711
130	0.3289212955
131	0.328000327
132	0.3277228705
133	0.3275599558
134	0.3272740248
135	0.3270423549
136	0.3266172873
137	0.3262508005
138	0.32605475
139	0.325820731
140	0.3254270837
141	0.3250471535
142	0.3248709792
143	0.3243595361
144	0.3241276089
145	0.3233714164
146	0.3229768868
147	0.322734549
148	0.3221893066
149	0.3219099389
150	0.3214140527
151	0.3209486064
152	0.3206664937
153	0.3205790617
154	0.3202783736
155	0.3194754132
156	0.319031006
157	0.3188325954
158	0.3185659085
159	0.3180335287
160	0.3176743025
161	0.317269391
162	0.3168614947
163	0.3164988698
164	0.316047882
165	0.3156463169
166	0.3151829505
167	0.3148720757
168	0.3144164175
169	0.3140516993
170	0.3136953587
171	0.3133736266
172	0.313019515
173	0.3127221215
174	0.3122188619
175	0.3120439077
176	0.3116666044
177	0.3112198732
178	0.3108970749
179	0.3105869928
180	0.3103097576
181	0.3099581269
182	0.3096200633
183	0.3093283568
184	0.3090620551
185	0.30874368
186	0.3084190623
187	0.3082018541
188	0.3078985695
189	0.3076603031
190	0.3074762179
191	0.3072323311
192	0.3070375884
193	0.3067936434
194	0.3065907924
195	0.3063238434
196	0.3060760399
197	0.3058366525
198	0.305532091
199	0.3053115015
200	0.3050662259
201	0.3048828962
202	0.3047076512
203	0.3044919519
204	0.304314618
205	0.3040097203
206	0.3038158046
207	0.3035748535
208	0.3033285861
209	0.303106505
210	0.3028815271
211	0.3026314239
212	0.3019315363
213	0.3017558128
214	0.3015973726
215	0.3013898654
216	0.3009375274
217	0.3007515835
218	0.300521677
219	0.3002086652
220	0.3000361799
221	0.2999006236
222	0.2997022457
223	0.2995036733
224	0.2993180194
225	0.2991895349
226	0.2990047008
227	0.298852205
228	0.298657413
229	0.2985271205
230	0.2982817654
231	0.2981384635
232	0.2979810979
